marker,position,absolute_pos,n_tokens,emotion,task,split,file_id
like,0.38461538461538464,5,14,3,6way,train,Ses02F_impro01_
but,0.4,4,11,-1,6way,train,Ses02F_impro01_
well,0.2,1,6,3,6way,train,Ses02F_impro01_
well,0.0,0,9,-1,6way,train,Ses02F_impro01_
so,0.42105263157894735,8,20,5,6way,train,Ses02F_impro01_
but,0.631578947368421,12,20,5,6way,train,Ses02F_impro01_
i mean,0.0,0,20,5,6way,train,Ses02F_impro01_
i mean,0.0,0,10,5,6way,train,Ses02F_impro01_
so,1.0,1,2,3,6way,train,Ses02F_impro01_
so,0.1875,3,17,5,6way,train,Ses02F_impro01_
but,0.25,4,17,5,6way,train,Ses02F_impro01_
and,0.9375,15,17,5,6way,train,Ses02F_impro01_
so,0.8235294117647058,14,18,5,6way,train,Ses02F_impro01_
but,0.29411764705882354,5,18,5,6way,train,Ses02F_impro01_
maybe,1.0,17,18,5,6way,train,Ses02F_impro01_
like,0.6923076923076923,27,40,5,6way,train,Ses02F_impro01_
so,0.8717948717948718,34,40,5,6way,train,Ses02F_impro01_
well,0.0,0,40,5,6way,train,Ses02F_impro01_
you know,0.5641025641025641,22,40,5,6way,train,Ses02F_impro01_
and,0.2857142857142857,4,15,5,6way,train,Ses02F_impro01_
and,0.7142857142857143,10,15,5,6way,train,Ses02F_impro01_
i think,0.0,0,24,5,6way,train,Ses02F_impro01_
and,0.43478260869565216,10,24,5,6way,train,Ses02F_impro01_
and,0.6521739130434783,15,24,5,6way,train,Ses02F_impro01_
maybe,0.9130434782608695,21,24,5,6way,train,Ses02F_impro01_
like,0.8064516129032258,25,32,5,6way,train,Ses02F_impro01_
but,0.0,0,32,5,6way,train,Ses02F_impro01_
so,1.0,6,7,5,6way,train,Ses02F_impro01_
and,0.0,0,7,5,6way,train,Ses02F_impro01_
but,0.7428571428571429,26,36,5,6way,train,Ses02F_impro01_
and,0.17142857142857143,6,36,5,6way,train,Ses02F_impro01_
and,0.6,21,36,5,6way,train,Ses02F_impro01_
so,0.75,6,9,5,6way,train,Ses02F_impro01_
well,0.0,0,9,5,6way,train,Ses02F_impro01_
and,0.0,0,18,5,6way,train,Ses02F_impro01_
and,0.5294117647058824,9,18,5,6way,train,Ses02F_impro01_
and,0.7058823529411765,12,18,5,6way,train,Ses02F_impro01_
and,0.8823529411764706,15,18,5,6way,train,Ses02F_impro01_
but,0.045454545454545456,1,23,5,6way,train,Ses02F_impro01_
and,0.5135135135135135,19,38,5,6way,train,Ses02F_impro01_
and,0.6756756756756757,25,38,5,6way,train,Ses02F_impro01_
and,0.8378378378378378,31,38,5,6way,train,Ses02F_impro01_
well,0.0,0,18,5,6way,train,Ses02F_impro01_
and,0.7058823529411765,12,18,5,6way,train,Ses02F_impro01_
maybe,0.4117647058823529,7,18,5,6way,train,Ses02F_impro01_
so,1.0,8,9,5,6way,train,Ses02F_impro01_
so,0.4375,7,17,5,6way,train,Ses02F_impro01_
but,0.75,12,17,5,6way,train,Ses02F_impro01_
well,0.0,0,17,5,6way,train,Ses02F_impro01_
and,0.7894736842105263,15,20,5,6way,train,Ses02F_impro01_
but,0.0625,1,17,0,6way,train,Ses02F_impro01_
and,0.9375,15,17,0,6way,train,Ses02F_impro01_
well,0.0,0,16,0,6way,train,Ses02F_impro01_
but,0.07142857142857142,1,15,0,6way,train,Ses02F_impro01_
so,0.6428571428571429,9,15,5,6way,train,Ses02F_impro01_
but,0.07142857142857142,1,15,5,6way,train,Ses02F_impro01_
like,0.8,8,11,0,6way,train,Ses02F_impro01_
and,0.4,4,11,0,6way,train,Ses02F_impro01_
