K,f1_weighted,f1_macro,angry_f1,happy_f1,sad_f1,neutral_f1
0,0.015877503427655978,0.019376658471162975,0.03161686779865434,0.014593294644230011,0.03671402907866308,0.01535778889116689
10,0.011902917743609409,0.011067413755861889,0.014168551486524857,0.012464785335883298,0.01497861167829208,0.021348579887602432
20,0.00980625754771009,0.008471205518388706,0.013449124112035655,0.01832419754255366,0.015947121645980653,0.012511325757526816
30,0.010618936818214741,0.009946732386528937,0.013235486247925511,0.01612541072687045,0.014887712691356877,0.011357979013713045
40,0.011199642788629637,0.011649901417725797,0.02413337761670957,0.018457371314502917,0.01662409248225592,0.012725669932377956
50,0.013693714084316952,0.010816361918810339,0.013450187681146333,0.028438433436886013,0.014074618946940697,0.009995856492305265
60,0.017555138097877353,0.017718413848695144,0.026745914757370603,0.020184401456106713,0.027502118014022147,0.018650304003874178
70,0.011892722823355826,0.011291320959629206,0.014091859637425956,0.017791626245815727,0.01844313279020508,0.015716205578708307
80,0.015708227199207742,0.014830117059705997,0.013846143969732294,0.025378716761384902,0.021081362618376398,0.011415603479734165
90,0.015485309107674917,0.01655733295678224,0.03372218431803147,0.02085708389323535,0.017823547114720777,0.02162082878207529
100,0.009413134470285352,0.008474952292175658,0.016766770817121468,0.018301585973259323,0.011646372665007248,0.01189412348544982
