K,f1_weighted,f1_macro,angry_f1,happy_f1,sad_f1,neutral_f1,excited_f1,frustrated_f1,seed
0,0.528022350242055,0.5110623200182326,0.5,0.37815126050420167,0.5170731707317073,0.5454545454545454,0.5811051693404634,0.544589774078478,42
10,0.6386727631987392,0.6104513850680082,0.5935483870967742,0.3033175355450237,0.796812749003984,0.6443914081145584,0.6793048973143759,0.6453333333333333,42
20,0.6566183655655382,0.6381833671977573,0.625,0.41739130434782606,0.7740492170022372,0.6228187919463087,0.7223880597014926,0.6674528301886793,42
30,0.6331171810622062,0.6253197003113729,0.5898004434589801,0.48535564853556484,0.7701863354037267,0.6094527363184079,0.7278688524590164,0.5692541856925418,42
40,0.6503647284894519,0.6451080572151869,0.6034912718204489,0.5576208178438662,0.7647058823529411,0.5966277561608301,0.7020109689213894,0.6461916461916462,42
50,0.6170156317396629,0.6018919041345266,0.60431654676259,0.3861003861003861,0.7614879649890591,0.6199261992619927,0.6587837837837838,0.5807365439093485,42
60,0.6345023324349871,0.6229793283765452,0.5827505827505828,0.47706422018348627,0.7568807339449541,0.6096938775510204,0.6995073891625616,0.6119791666666666,42
70,0.6465488771278721,0.6410331727495218,0.6046511627906976,0.5538461538461539,0.7516483516483516,0.6288888888888889,0.6946983546617916,0.6124661246612466,42
80,0.6363693531550668,0.6235573920283591,0.6119402985074627,0.43018867924528303,0.7851239669421488,0.6156028368794326,0.6930091185410334,0.6054794520547945,42
90,0.6665238104058766,0.6531734584308164,0.6507462686567164,0.460093896713615,0.7949790794979079,0.631055900621118,0.7197452229299363,0.6624203821656051,42
100,0.6521489525409981,0.6456212614082718,0.6084656084656085,0.547945205479452,0.7928994082840237,0.6338215712383488,0.6509090909090909,0.639686684073107,42
0,0.5239218707239778,0.5108363271351729,0.5080213903743316,0.3783783783783784,0.5514563106796116,0.5214198286413708,0.5767097966728281,0.5290322580645161,43
10,0.6085986647216188,0.5897008283747421,0.585956416464891,0.3786407766990291,0.6861788617886179,0.6077922077922078,0.6787658802177858,0.6008708272859217,43
20,0.6131593237317041,0.5900079650388864,0.6184971098265896,0.31527093596059114,0.6848816029143898,0.6040268456375839,0.6993243243243243,0.6180469715698393,43
30,0.66608102956933,0.6576367995587417,0.6068965517241379,0.5644599303135889,0.7654867256637168,0.6321974148061105,0.7118055555555556,0.6649746192893401,43
40,0.6339858196327631,0.6119034541493982,0.6242424242424243,0.3263157894736842,0.7589098532494759,0.5877318116975749,0.7275541795665634,0.6466666666666666,43
50,0.6533425639842246,0.6321624459300149,0.6329113924050633,0.365296803652968,0.8066528066528067,0.6213333333333333,0.6960486322188449,0.6707317073170732,43
60,0.6314779461532126,0.6197836416635668,0.6012269938650306,0.45132743362831856,0.7769230769230769,0.6106696935300795,0.6641929499072357,0.6143617021276596,43
