K,f1_weighted,f1_macro,angry_f1,happy_f1,sad_f1,neutral_f1,excited_f1,frustrated_f1
0,0.5236015180555331,0.5094124681984766,0.5156403608326376,0.3680253486592083,0.5445151190381244,0.5270797830371551,0.5655155373047734,0.5356986603189611
10,0.6222903775832132,0.6055624731296066,0.5956319396797769,0.39263630867539007,0.7525127930325388,0.6092807751828945,0.6746480837836191,0.6086649384234206
20,0.6371371616130072,0.6217753085302833,0.6116704819238544,0.422229699395969,0.7575955229251203,0.6165025263451248,0.6976250668655501,0.6250285537260808
30,0.6375618559532265,0.6262947245176588,0.6041699964435935,0.47577268074310475,0.7558369646749309,0.6151460252757226,0.6819787012782201,0.6248639786903809
40,0.6455931350608504,0.6317493389485239,0.6167794042046093,0.44765051383260246,0.7761436598591916,0.6133948427052267,0.6906133411653673,0.6459142719241461
50,0.6320200623514644,0.6205668224106793,0.5975541949261192,0.451698112262644,0.7767784328169374,0.6119831797306146,0.6839659966451892,0.6014210180825713
60,0.6275819593521612,0.611290158578836,0.608144565886066,0.3921448574378144,0.7568414876370232,0.6057565679619423,0.6915757604281008,0.613277712122069
70,0.6265763371569447,0.614600407289968,0.6021466059193973,0.4340596442042631,0.7614123063703315,0.5990463413869794,0.6897030290791563,0.60123451677968
80,0.6362587726161,0.6218535747706596,0.6048431873568964,0.43168914319475765,0.7701021163008275,0.6046647565530325,0.6861185436890578,0.6337037015293858
90,0.6362753270757882,0.6243912820280036,0.6023790661138112,0.44805466882914063,0.7816890564152615,0.6123660966644984,0.6964424717714168,0.6054163323738933
100,0.647439239358911,0.6401273935216643,0.6084128094261786,0.5227318130106832,0.7824702091162773,0.625445252888212,0.6812181510214109,0.6204861256672239
