K,f1_weighted,f1_macro,angry_f1,happy_f1,sad_f1,neutral_f1,excited_f1,frustrated_f1
0,0.013692271759423245,0.01589306032535054,0.022362438620529765,0.04310904440737962,0.021128725490272643,0.02053251308214232,0.015011384293105424,0.02312331836375582
10,0.028962162035503794,0.026518441140907782,0.03416798194528141,0.08751087385666027,0.031017146472501308,0.019441599022096214,0.0424156128931774,0.07217989123185056
20,0.01261599755058547,0.015116918933829224,0.02060742654489125,0.06876017678509504,0.03012695004290258,0.012408090663724365,0.025831887719725343,0.02825405131680976
30,0.022497120062839514,0.024028334390734818,0.01627538312304359,0.05921686350481049,0.040731802079110854,0.02777797805549949,0.04473461357311653,0.03130582628050366
40,0.016873375976307663,0.02355101284710619,0.020401184416517663,0.11221374166722649,0.015491785063436988,0.026227081958875544,0.024356140283154405,0.015341226809931077
50,0.022763005824676833,0.020829486394405315,0.02905838333165142,0.06739132332415762,0.024173143362127798,0.01875348178950056,0.03617222648171395,0.05810797700734236
60,0.028890269756956546,0.03194827171328542,0.03176718449078619,0.09718925778908902,0.038469354579423805,0.02903058407317181,0.02485149990353902,0.04002567644909239
70,0.020626291849206484,0.021271410088434105,0.014539589534881808,0.08752036018018083,0.03468294514489184,0.046725236188268425,0.024341560981939583,0.02348372133014707
80,0.017939735579828368,0.022275274693709476,0.01882879704329751,0.08651853798068122,0.022018303720428217,0.028433102493602484,0.02547610390528827,0.038362989368838335
90,0.01681729464608452,0.018927163223982687,0.02629221513303297,0.06218507352683237,0.01442346666056728,0.016666142461009198,0.03259554290834628,0.02781155912942628
100,0.014513022709752951,0.01415706069341488,0.01577670868887817,0.03886218255415411,0.015037770746991943,0.015946606038176128,0.0460970369006678,0.03017302302599015
