lemma,category
abashment,abashment
abhorrence,abhorrence
abomination,abhorrence
admiration,admiration
admiration,wonder
adoration,worship
affection,affection
affectionateness,affection
affright,panic
aggravation,aggravation
aggression,aggression
aggressiveness,aggression
agitation,ambiguous-agitation
alarm,alarm
alienation,alienation
aloofness,distance
amazement,astonishment
amicability,amicability
amicableness,amicability
amorousness,amorousness
amour-propre,amour-propre
amour_propre,amour-propre
anger,anger
angst,angst
animosity,animosity
animus,animosity
annoyance,annoyance
antagonism,antagonism
anticipation,anticipation
antipathy,antipathy
anxiety,anxiety
anxiousness,anxiousness
apathy,apathy
appreciativeness,gratefulness
apprehension,apprehension
apprehensiveness,apprehension
approval,approval
ardor,enthusiasm-ardor
ardor,love-ardor
ardour,enthusiasm-ardor
ardour,love-ardor
astonishment,astonishment
ataraxis,peace
attachment,attachment
attrition,attrition
aversion,antipathy
avidity,eagerness
avidness,eagerness
awe,awe
awe,reverence
bad-blood,animosity
bad-temper,bad-temper
bad_blood,animosity
bad_temper,bad-temper
bang,bang
bashfulness,abashment
belligerence,belligerence
belligerency,belligerence
belonging,belonging
beneficence,beneficence
benevolence,benevolence
bitterness,resentment
blitheness,cheerfulness
blue-devils,blue-devils
blue_devils,blue-devils
blues,blue-devils
boding,foreboding
bonheur,bonheur
boot,bang
bravery,fearlessness
brokenheartedness,grief
brooding,pensiveness
brotherhood,brotherhood
buck-fever,buck-fever
buck_fever,buck-fever
buoyancy,buoyancy
calf-love,puppy-love
calf_love,puppy-love
calmness,calmness
captivation,captivation
care,negative-concern
carefreeness,carefreeness
caring,lovingness
chafe,annoyance
chagrin,chagrin
charge,bang
cheerfulness,cheerfulness
cheerlessness,cheerlessness
chill,chill
chill,frisson
choler,anger
class-feeling,class-feeling
class_feeling,class-feeling
closeness,closeness
coldheartedness,heartlessness
comfortableness,comfortableness
commiseration,commiseration
compassion,compassion
compassionateness,compassion
compatibility,compatibility
complacence,complacency
complacency,complacency
compunction,compunction
conceit,amour-propre
concern,negative-concern
concern,positive-concern
confidence,confidence
confusion,confusion
conniption,fit
conscience,conscience
consternation,alarm
contempt,contempt
contentment,contentment
contriteness,attrition
contrition,attrition
coolness,coolness
covetousness,covetousness
creeps,creeps
cruelty,cruelty
crush,puppy-love
cynicism,cynicism
dander,dander
daze,daze
defeatism,defeatism
dejectedness,downheartedness
demoralisation,demoralization
demoralization,demoralization
depression,depression
designation,identification
desolation,forlornness
despair,despair
despisal,despisal
despising,despisal
despite,contempt
despondence,despondency
despondency,despondency
detachment,withdrawal
detestation,abhorrence
devotedness,devotion
devotion,devotion
diffidence,diffidence
disaffection,alienation
disapproval,disapproval
discombobulation,confusion
discomfiture,discomfiture
discomposure,discomfiture
disconcertion,discomfiture
disconcertment,discomfiture
disconsolateness,despondency
discouragement,discouragement
disdain,contempt
disgust,disgust
disheartenment,discouragement
disinclination,disinclination
dislike,dislike
dismay,alarm
dismay,discouragement
dispiritedness,downheartedness
displeasure,displeasure
disquiet,anxiousness
disquietude,edginess
distance,distance
distaste,antipathy
dolefulness,dolefulness
dolor,dolor
dolour,dolor
downheartedness,downheartedness
dread,apprehension
dreaminess,positive-languor
dudgeon,dudgeon
dysphoria,dysphoria
eagerness,eagerness
earnestness,earnestness
easiness,easiness
edginess,edginess
ego,ego
egotism,ego
elan,enthusiasm-ardor
elation,elation
electricity,electricity
embarrassment,embarrassment
emotionlessness,emotionlessness
empathy,empathy
enamoredness,amorousness
enchantment,captivation
encouragement,encouragement
enmity,hostility
enragement,infuriation
enthrallment,captivation
enthusiasm,enthusiasm
enviousness,envy
envy,envy
esteem,admiration
estrangement,alienation
euphoria,euphoria
euphory,euphoria
exasperation,aggravation
excitement,exhilaration
execration,abhorrence
exhilaration,exhilaration
expectancy,anticipation
expectation,ambiguous-expectation
exuberance,exuberance
exultation,exultation
fancy,fondness
fascination,captivation
favor,favor
favour,favor
fear,negative-concern
fear,negative-fear
fear,reverence
fearfulness,negative-fear
fearlessness,fearlessness
fellow-feeling,sympathy
fellow_feeling,sympathy
fever,fever
fidget,fidget
fidgetiness,fidget
fit,fit
flush,bang
fond-regard,attachment
fond_regard,attachment
fondness,affection
fondness,fondness
foreboding,foreboding
forgiveness,forgiveness
forlornness,forlornness
friendliness,friendliness
fright,negative-fear
frisson,frisson
frustration,frustration
fulfillment,fulfillment
fulfilment,fulfillment
fury,fury
gaiety,general-gaiety
gaiety,levity-gaiety
gall,resentment
gladfulness,gladness
gladness,gladness
gladsomeness,gladness
glee,gloat
glee,hilarity
gleefulness,hilarity
gloat,gloat
gloating,gloat
gloom,gloom
gloominess,gloom
good-will,good-will
good_will,good-will
goodwill,good-will
gratefulness,gratefulness
gratitude,gratitude
gravity,gravity
green-eyed-monster,jealousy
green_eyed_monster,jealousy
grief,grief
grievance,grudge
grudge,grudge
guilt,guilt
guilt-feelings,guilt
guilt-trip,guilt
guilt_feelings,guilt
guilt_trip,guilt
guilty-conscience,guilt
guilty_conscience,guilt
gusto,gusto
hackles,dander
happiness,happiness
harassment,harassment
hardheartedness,heartlessness
hate,hate
hatred,hate
heart,affection
heartache,grief
heartbreak,grief
heartburning,heartburning
heartlessness,heartlessness
heartsease,peace
heartsickness,despondency
heavyheartedness,heavyheartedness
helplessness,helplessness
hero-worship,hero-worship
hero_worship,hero-worship
hesitance,hesitance
hesitancy,hesitance
high-dudgeon,dudgeon
high-spirits,elation
high_dudgeon,dudgeon
high_spirits,elation
hilarity,hilarity
hope,ambiguous-hope
hope,positive-hope
hopefulness,hopefulness
hopelessness,hopelessness
horror,horror
horror,repugnance
hostility,hostility
huffiness,huffiness
huffishness,sulkiness
humbleness,humility
humiliation,chagrin
humility,humility
hysteria,hysteria
identification,identification
ill-temper,bad-temper
ill-will,hostility
ill_temper,bad-temper
ill_will,hostility
impassiveness,emotionlessness
impassivity,emotionlessness
impatience,impatience
imperturbability,coolness
imperturbableness,coolness
indifference,emotionlessness
indifference,indifference
indignation,indignation
infatuation,puppy-love
infuriation,infuriation
ingratitude,ingratitude
inquietude,edginess
insecurity,insecurity
insouciance,carefreeness
intimacy,closeness
