id,utterance,label,label_num,file_id,utterance_num,session,start,end
meld_0_0,also I was the point person on my companys transition from the KL-5 to GR-6 system.,neutral,3,0,0,MELD_train,,
meld_0_1,You mustve had your hands full.,neutral,3,0,1,MELD_train,,
meld_0_2,That I did. That I did.,neutral,3,0,2,MELD_train,,
meld_0_3,So lets talk a little bit about your duties.,neutral,3,0,3,MELD_train,,
meld_0_4,My duties?  All right.,happy,1,0,4,MELD_train,,
meld_0_5,"Now youll be heading a whole division, so youll have a lot of duties.",neutral,3,0,5,MELD_train,,
meld_0_6,I see.,neutral,3,0,6,MELD_train,,
meld_0_7,But therell be perhaps 30 people under you so you can dump a certain amount on them.,neutral,3,0,7,MELD_train,,
meld_0_8,Good to know.,neutral,3,0,8,MELD_train,,
meld_0_9,We can go into detail,neutral,3,0,9,MELD_train,,
meld_0_10,No dont I beg of you!,sad,2,0,10,MELD_train,,
meld_0_11,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",neutral,3,0,11,MELD_train,,
meld_0_12,Really?!,happy,1,0,12,MELD_train,,
meld_0_13,Absolutely.  You can relax,neutral,3,0,13,MELD_train,,
meld_1_0,But then who? The waitress I went out with last month?,happy,1,1,0,MELD_train,,
meld_1_1,You know? Forget it!,sad,2,1,1,MELD_train,,
meld_1_2,"No-no-no-no, no! Who, who were you talking about?",happy,1,1,2,MELD_train,,
meld_1_3,"No, I-I-I-I don't, I actually don't know",sad,2,1,3,MELD_train,,
meld_1_4,Ok!,neutral,3,1,4,MELD_train,,
meld_1_5,"All right, well...",neutral,3,1,5,MELD_train,,
meld_1_8,"Yeah, sure!",neutral,3,1,8,MELD_train,,
meld_2_0,"Hey, Mon.",neutral,3,2,0,MELD_train,,
meld_2_1,Hey-hey-hey. You wanna hear something that sucks.,neutral,3,2,1,MELD_train,,
meld_2_2,Do I ever.,happy,1,2,2,MELD_train,,
meld_2_3,Chris says theyre closing down the bar.,sad,2,2,3,MELD_train,,
meld_2_4,No way!,happy,1,2,4,MELD_train,,
meld_2_5,"Yeah, apparently theyre turning it into some kinda coffee place.",neutral,3,2,5,MELD_train,,
meld_2_6,Just coffee! Where are we gonna hang out now?,angry,0,2,6,MELD_train,,
meld_2_7,Got me.,sad,2,2,7,MELD_train,,
meld_2_8,Can I get a beer.,neutral,3,2,8,MELD_train,,
meld_2_9,"Hey, did you pick a roommate?",neutral,3,2,9,MELD_train,,
meld_2_10,You betcha!,happy,1,2,10,MELD_train,,
meld_2_11,Is it the Italian guy?,neutral,3,2,11,MELD_train,,
