id,utterance_num,label
Ses01F_impro01_F000,0,neu
Ses01F_impro01_M000,1,fru
Ses01F_impro01_F001,2,neu
Ses01F_impro01_M001,3,fru
Ses01F_impro01_F002,4,neu
Ses01F_impro01_M002,5,fru
Ses01F_impro01_F003,6,-1
Ses01F_impro01_F004,7,-1
Ses01F_impro01_M003,8,fru
Ses01F_impro01_F005,9,neu
Ses01F_impro01_M004,10,fru
Ses01F_impro01_M005,11,fru
Ses01F_impro01_F006,12,fru
Ses01F_impro01_M006,13,fru
Ses01F_impro01_F007,14,fru
Ses01F_impro01_M007,15,fru
Ses01F_impro01_F008,16,fru
Ses01F_impro01_M008,17,fru
Ses01F_impro01_F009,18,fru
Ses01F_impro01_M009,19,fru
Ses01F_impro01_F010,20,-1
Ses01F_impro01_F011,21,fru
Ses01F_impro01_M010,22,fru
Ses01F_impro01_F012,23,ang
Ses01F_impro01_M011,24,ang
Ses01F_impro01_F013,25,fru
Ses01F_impro01_M012,26,-1
Ses01F_impro01_F014,27,neu
Ses01F_impro01_M013,28,ang
Ses01F_impro01_F015,29,fru
Ses01F_impro02_F000,0,sad
Ses01F_impro02_M000,1,-1
Ses01F_impro02_F001,2,sad
Ses01F_impro02_M001,3,sad
Ses01F_impro02_F002,4,sad
Ses01F_impro02_F003,5,neu
Ses01F_impro02_M002,6,-1
Ses01F_impro02_F004,7,sad
Ses01F_impro02_M003,8,fru
Ses01F_impro02_F005,9,sad
Ses01F_impro02_M004,10,-1
Ses01F_impro02_F006,11,neu
Ses01F_impro02_M005,12,sad
Ses01F_impro02_F007,13,-1
Ses01F_impro02_M006,14,-1
Ses01F_impro02_F008,15,sad
Ses01F_impro02_F009,16,-1
Ses01F_impro02_F010,17,sad
Ses01F_impro02_M007,18,-1
Ses01F_impro02_F011,19,-1
Ses01F_impro02_M008,20,fru
Ses01F_impro02_M009,21,sad
Ses01F_impro02_F012,22,sad
Ses01F_impro02_M010,23,sad
Ses01F_impro02_F013,24,sad
Ses01F_impro02_M011,25,sad
Ses01F_impro02_F014,26,sad
Ses01F_impro02_M012,27,neu
Ses01F_impro02_F015,28,sad
Ses01F_impro02_M013,29,sad
Ses01F_impro02_F016,30,neu
Ses01F_impro02_M014,31,sad
Ses01F_impro02_F017,32,sad
Ses01F_impro02_M015,33,neu
Ses01F_impro02_F018,34,neu
Ses01F_impro02_F019,35,sad
Ses01F_impro02_F020,36,sad
Ses01F_impro02_M016,37,fru
Ses01F_impro03_M000,0,neu
Ses01F_impro03_F000,1,hap
Ses01F_impro03_M001,2,neu
Ses01F_impro03_F001,3,hap
Ses01F_impro03_M002,4,sur
Ses01F_impro03_F002,5,hap
Ses01F_impro03_M003,6,exc
Ses01F_impro03_F003,7,-1
Ses01F_impro03_M004,8,-1
Ses01F_impro03_F004,9,hap
Ses01F_impro03_F005,10,hap
Ses01F_impro03_M005,11,-1
Ses01F_impro03_F006,12,hap
Ses01F_impro03_M006,13,neu
Ses01F_impro03_F007,14,-1
Ses01F_impro03_M007,15,hap
Ses01F_impro03_F008,16,hap
Ses01F_impro03_M008,17,neu
Ses01F_impro03_F009,18,hap
Ses01F_impro03_M009,19,neu
Ses01F_impro03_F010,20,hap
Ses01F_impro03_M010,21,-1
Ses01F_impro03_F011,22,-1
Ses01F_impro03_M011,23,neu
Ses01F_impro03_F012,24,hap
Ses01F_impro03_M012,25,-1
Ses01F_impro03_F013,26,hap
Ses01F_impro03_M013,27,hap
Ses01F_impro03_F014,28,-1
Ses01F_impro03_M014,29,hap
Ses01F_impro03_F015,30,exc
Ses01F_impro03_M015,31,hap
Ses01F_impro03_F016,32,hap
Ses01F_impro03_M016,33,neu
Ses01F_impro03_F017,34,neu
Ses01F_impro03_M017,35,sur
Ses01F_impro03_F018,36,neu
Ses01F_impro03_M018,37,sur
Ses01F_impro03_F019,38,neu
Ses01F_impro03_M019,39,neu
Ses01F_impro03_F020,40,-1
Ses01F_impro03_F021,41,hap
Ses01F_impro03_M020,42,neu
Ses01F_impro03_F022,43,neu
Ses01F_impro03_M021,44,neu
Ses01F_impro03_F023,45,neu
Ses01F_impro03_F024,46,hap
Ses01F_impro03_M022,47,exc
Ses01F_impro03_M023,48,hap
Ses01F_impro03_F025,49,hap
Ses01F_impro03_M024,50,neu
Ses01F_impro03_F026,51,hap
Ses01F_impro04_M000,0,neu
Ses01F_impro04_F000,1,neu
Ses01F_impro04_M001,2,neu
Ses01F_impro04_F001,3,neu
Ses01F_impro04_M002,4,neu
Ses01F_impro04_F002,5,fru
Ses01F_impro04_M003,6,neu
Ses01F_impro04_M004,7,neu
Ses01F_impro04_F003,8,-1
Ses01F_impro04_M005,9,neu
Ses01F_impro04_F004,10,-1
Ses01F_impro04_M006,11,neu
Ses01F_impro04_F005,12,neu
Ses01F_impro04_F006,13,neu
Ses01F_impro04_M007,14,neu
Ses01F_impro04_F007,15,fru
Ses01F_impro04_M008,16,neu
Ses01F_impro04_F008,17,-1
Ses01F_impro04_M009,18,neu
Ses01F_impro04_F009,19,neu
Ses01F_impro04_M010,20,neu
Ses01F_impro04_F010,21,-1
Ses01F_impro04_M011,22,neu
Ses01F_impro04_F011,23,-1
Ses01F_impro04_M012,24,neu
Ses01F_impro04_F012,25,-1
Ses01F_impro04_M013,26,neu
Ses01F_impro04_F013,27,neu
Ses01F_impro04_M014,28,neu
Ses01F_impro04_F014,29,neu
Ses01F_impro04_F015,30,-1
Ses01F_impro04_M015,31,neu
Ses01F_impro04_F016,32,fru
Ses01F_impro04_M016,33,neu
Ses01F_impro04_F017,34,fru
Ses01F_impro04_M017,35,neu
Ses01F_impro04_F018,36,fru
Ses01F_impro04_M018,37,neu
Ses01F_impro04_F019,38,fru
Ses01F_impro04_M019,39,neu
Ses01F_impro04_M020,40,neu
Ses01F_impro04_F020,41,-1
Ses01F_impro04_M021,42,neu
Ses01F_impro04_F021,43,fru
Ses01F_impro04_F022,44,fru
Ses01F_impro04_M022,45,neu
Ses01F_impro04_M023,46,neu
Ses01F_impro04_F023,47,fru
Ses01F_impro04_M024,48,neu
Ses01F_impro04_F024,49,fru
Ses01F_impro04_M025,50,neu
Ses01F_impro04_F025,51,fru
Ses01F_impro04_M026,52,neu
Ses01F_impro04_F026,53,fru
Ses01F_impro04_M027,54,neu
Ses01F_impro04_F027,55,fru
Ses01F_impro04_M028,56,neu
Ses01F_impro04_M029,57,fru
Ses01F_impro04_F028,58,ang
Ses01F_impro04_M030,59,fru
Ses01F_impro04_F029,60,ang
Ses01F_impro04_M031,61,neu
Ses01F_impro04_F030,62,ang
Ses01F_impro04_M032,63,neu
Ses01F_impro04_F031,64,ang
Ses01F_impro04_M033,65,-1
Ses01F_impro04_M034,66,fru
