id,utterance_num,label,label_num
Ses02F_impro01_F000,0,neutral,3
Ses02F_impro01_M000,1,neutral,3
Ses02F_impro01_M001,2,neutral,3
Ses02F_impro01_F001,3,sur,-1
Ses02F_impro01_M002,4,neutral,3
Ses02F_impro01_F002,5,xxx,-1
Ses02F_impro01_M003,6,xxx,-1
Ses02F_impro01_F003,7,frustrated,5
Ses02F_impro01_F004,8,frustrated,5
Ses02F_impro01_F005,9,frustrated,5
Ses02F_impro01_M004,10,neutral,3
Ses02F_impro01_M005,11,frustrated,5
Ses02F_impro01_F006,12,frustrated,5
Ses02F_impro01_F007,13,frustrated,5
Ses02F_impro01_M006,14,frustrated,5
Ses02F_impro01_M007,15,frustrated,5
Ses02F_impro01_F008,16,frustrated,5
Ses02F_impro01_F009,17,frustrated,5
Ses02F_impro01_M008,18,frustrated,5
Ses02F_impro01_M009,19,frustrated,5
Ses02F_impro01_F010,20,frustrated,5
Ses02F_impro01_M010,21,frustrated,5
Ses02F_impro01_F011,22,frustrated,5
Ses02F_impro01_M011,23,frustrated,5
Ses02F_impro01_F012,24,frustrated,5
Ses02F_impro01_M012,25,frustrated,5
Ses02F_impro01_F013,26,frustrated,5
Ses02F_impro01_M013,27,frustrated,5
Ses02F_impro01_F014,28,frustrated,5
Ses02F_impro01_M014,29,frustrated,5
Ses02F_impro01_F015,30,frustrated,5
Ses02F_impro01_M015,31,frustrated,5
Ses02F_impro01_F016,32,frustrated,5
Ses02F_impro01_M016,33,xxx,-1
Ses02F_impro01_F017,34,frustrated,5
Ses02F_impro01_M017,35,angry,0
Ses02F_impro01_F018,36,angry,0
Ses02F_impro01_M018,37,frustrated,5
Ses02F_impro01_M019,38,angry,0
Ses02F_impro01_F019,39,angry,0
Ses02F_impro01_M020,40,frustrated,5
Ses02F_impro01_F020,41,angry,0
Ses02F_impro01_M021,42,frustrated,5
Ses02F_impro01_F021,43,angry,0
Ses02F_impro01_M022,44,frustrated,5
Ses02F_impro01_M023,45,frustrated,5
Ses02F_impro01_F022,46,frustrated,5
Ses02F_impro01_M024,47,frustrated,5
Ses02F_impro01_F023,48,frustrated,5
Ses02F_impro02_F000,0,sad,2
Ses02F_impro02_M000,1,xxx,-1
Ses02F_impro02_F001,2,sad,2
Ses02F_impro02_M001,3,frustrated,5
Ses02F_impro02_F002,4,sad,2
Ses02F_impro02_M002,5,frustrated,5
Ses02F_impro02_F003,6,sad,2
Ses02F_impro02_M003,7,frustrated,5
Ses02F_impro02_F004,8,sad,2
Ses02F_impro02_F005,9,sad,2
Ses02F_impro02_M004,10,xxx,-1
Ses02F_impro02_M005,11,frustrated,5
Ses02F_impro02_F006,12,sad,2
Ses02F_impro02_F007,13,sad,2
Ses02F_impro02_M006,14,frustrated,5
Ses02F_impro02_F008,15,sad,2
Ses02F_impro02_M007,16,sad,2
Ses02F_impro02_F009,17,sad,2
Ses02F_impro02_M008,18,frustrated,5
Ses02F_impro02_F010,19,sad,2
Ses02F_impro02_F011,20,sad,2
Ses02F_impro02_M009,21,frustrated,5
Ses02F_impro02_M010,22,frustrated,5
Ses02F_impro02_F012,23,sad,2
Ses02F_impro02_M011,24,xxx,-1
Ses02F_impro02_F013,25,sad,2
Ses02F_impro02_M012,26,sad,2
Ses02F_impro03_F000,0,excited,4
Ses02F_impro03_M000,1,xxx,-1
Ses02F_impro03_F001,2,excited,4
Ses02F_impro03_M001,3,neutral,3
Ses02F_impro03_F002,4,xxx,-1
Ses02F_impro03_M002,5,sur,-1
Ses02F_impro03_M003,6,xxx,-1
Ses02F_impro03_F003,7,xxx,-1
Ses02F_impro03_M004,8,happy,1
Ses02F_impro03_F004,9,excited,4
Ses02F_impro03_M005,10,excited,4
Ses02F_impro03_F005,11,xxx,-1
Ses02F_impro03_F006,12,xxx,-1
Ses02F_impro03_F007,13,xxx,-1
Ses02F_impro03_F008,14,xxx,-1
Ses02F_impro03_M006,15,sur,-1
Ses02F_impro03_F009,16,excited,4
Ses02F_impro03_M007,17,sur,-1
Ses02F_impro03_F010,18,xxx,-1
Ses02F_impro03_M008,19,xxx,-1
Ses02F_impro03_F011,20,excited,4
Ses02F_impro03_M009,21,happy,1
Ses02F_impro03_F012,22,excited,4
Ses02F_impro03_M010,23,happy,1
Ses02F_impro03_F013,24,excited,4
Ses02F_impro03_M011,25,happy,1
Ses02F_impro03_F014,26,excited,4
Ses02F_impro03_M012,27,excited,4
Ses02F_impro03_F015,28,happy,1
Ses02F_impro03_F016,29,happy,1
Ses02F_impro03_M013,30,neutral,3
Ses02F_impro03_F017,31,happy,1
Ses02F_impro03_M014,32,neutral,3
Ses02F_impro03_F018,33,happy,1
Ses02F_impro03_M015,34,neutral,3
Ses02F_impro03_F019,35,happy,1
Ses02F_impro03_M016,36,neutral,3
Ses02F_impro03_F020,37,xxx,-1
Ses02F_impro03_M017,38,neutral,3
Ses02F_impro03_F021,39,excited,4
Ses02F_impro03_M018,40,neutral,3
Ses02F_impro03_F022,41,xxx,-1
Ses02F_impro03_M019,42,happy,1
Ses02F_impro03_F023,43,happy,1
Ses02F_impro03_M020,44,happy,1
Ses02F_impro03_F024,45,excited,4
Ses02F_impro03_M021,46,xxx,-1
Ses02F_impro03_F025,47,xxx,-1
Ses02F_impro03_M022,48,happy,1
Ses02F_impro03_M023,49,happy,1
Ses02F_impro03_F026,50,happy,1
Ses02F_impro03_M024,51,excited,4
Ses02F_impro03_F027,52,happy,1
Ses02F_impro03_M025,53,excited,4
Ses02F_impro03_F028,54,excited,4
Ses02F_impro03_F029,55,happy,1
Ses02F_impro03_M026,56,happy,1
Ses02F_impro03_F030,57,happy,1
Ses02F_impro04_M000,0,neutral,3
Ses02F_impro04_F000,1,frustrated,5
Ses02F_impro04_M001,2,neutral,3
Ses02F_impro04_F001,3,frustrated,5
Ses02F_impro04_F002,4,frustrated,5
Ses02F_impro04_M002,5,xxx,-1
Ses02F_impro04_F003,6,frustrated,5
Ses02F_impro04_M003,7,neutral,3
Ses02F_impro04_F004,8,frustrated,5
Ses02F_impro04_M004,9,neutral,3
Ses02F_impro04_F005,10,frustrated,5
Ses02F_impro04_M005,11,neutral,3
Ses02F_impro04_F006,12,frustrated,5
Ses02F_impro04_M006,13,neutral,3
Ses02F_impro04_M007,14,neutral,3
Ses02F_impro04_F007,15,frustrated,5
Ses02F_impro04_M008,16,neutral,3
Ses02F_impro04_F008,17,frustrated,5
Ses02F_impro04_M009,18,neutral,3
Ses02F_impro04_F009,19,sad,2
Ses02F_impro04_M010,20,neutral,3
Ses02F_impro04_M011,21,neutral,3
Ses02F_impro04_F010,22,frustrated,5
Ses02F_impro04_M012,23,neutral,3
Ses02F_impro04_F011,24,frustrated,5
Ses02F_impro04_M013,25,neutral,3
Ses02F_impro04_F012,26,frustrated,5
Ses02F_impro04_M014,27,frustrated,5
Ses02F_impro04_F013,28,frustrated,5
Ses02F_impro04_M015,29,neutral,3
Ses02F_impro04_F014,30,frustrated,5
Ses02F_impro04_M016,31,neutral,3
Ses02F_impro04_M017,32,neutral,3
Ses02F_impro04_F015,33,frustrated,5
Ses02F_impro04_M018,34,neutral,3
Ses02F_impro04_F016,35,sad,2
Ses02F_impro04_M019,36,neutral,3
Ses02F_impro04_F017,37,xxx,-1
Ses02F_impro04_M020,38,xxx,-1
Ses02F_impro05_F000,0,neutral,3
Ses02F_impro05_M000,1,neutral,3
Ses02F_impro05_F001,2,neutral,3
Ses02F_impro05_M001,3,neutral,3
Ses02F_impro05_F002,4,sur,-1
Ses02F_impro05_M002,5,neutral,3
Ses02F_impro05_F003,6,sur,-1
Ses02F_impro05_M003,7,neutral,3
Ses02F_impro05_M004,8,neutral,3
Ses02F_impro05_F004,9,neutral,3
Ses02F_impro05_M005,10,neutral,3
Ses02F_impro05_F005,11,sur,-1
Ses02F_impro05_M006,12,neutral,3
Ses02F_impro05_F006,13,angry,0
Ses02F_impro05_M007,14,neutral,3
Ses02F_impro05_F007,15,frustrated,5
Ses02F_impro05_M008,16,neutral,3
Ses02F_impro05_F008,17,xxx,-1
Ses02F_impro05_F009,18,xxx,-1
Ses02F_impro05_M009,19,neutral,3
Ses02F_impro05_F010,20,angry,0
Ses02F_impro05_M010,21,neutral,3
Ses02F_impro05_F011,22,frustrated,5
Ses02F_impro05_M011,23,neutral,3
Ses02F_impro05_F012,24,xxx,-1
Ses02F_impro05_M012,25,neutral,3
Ses02F_impro05_F013,26,frustrated,5
Ses02F_impro05_M013,27,neutral,3
Ses02F_impro05_F014,28,frustrated,5
Ses02F_impro05_M014,29,neutral,3
Ses02F_impro05_F015,30,frustrated,5
Ses02F_impro05_M015,31,neutral,3
Ses02F_impro05_F016,32,frustrated,5
Ses02F_impro05_M016,33,neutral,3
Ses02F_impro05_F017,34,frustrated,5
Ses02F_impro05_M017,35,neutral,3
Ses02F_impro05_M018,36,neutral,3
