Context,Architecture,Loss,Test Acc,Test F1 Weighted,Test F1 Macro,Time (s),Train Size,Test Size
4-turn,MLP,Focal,0.6529,0.6569,0.6453,9.7,4246,1622
4-turn,MLP,CrossEntropy,0.6467,0.6510,0.6405,10.5,4246,1622
4-turn,LSTM,CrossEntropy,0.6350,0.6414,0.6315,20.7,4246,1622
4-turn,LSTM,Focal,0.6270,0.6332,0.6216,21.9,4246,1622
3-turn,MLP,CrossEntropy,0.6289,0.6330,0.6233,9.8,4246,1622
3-turn,LSTM,CrossEntropy,0.6184,0.6201,0.6019,12.1,4246,1622
3-turn,MLP,Focal,0.6141,0.6190,0.6067,8.3,4246,1622
3-turn,LSTM,Focal,0.6128,0.6178,0.6047,17.0,4246,1622
2-turn,MLP,CrossEntropy,0.6122,0.6176,0.6071,11.1,4246,1622
2-turn,LSTM,CrossEntropy,0.6097,0.6138,0.6001,14.8,4246,1622
2-turn,LSTM,Focal,0.6067,0.6098,0.5965,16.5,4246,1622
2-turn,MLP,Focal,0.6017,0.6074,0.5979,11.8,4246,1622
