model,k,seed,loss,class_weight,acc,f1w,f1m,mi_overall,confusion_matrix,train_time,hp_hidden,hp_dropout,hp_lr,hp_batch_size,hp_epochs,hp_weight_decay,hp_source,hp_loss,hp_focal_gamma,hp_poly_epsilon,hp_label_smoothing,hp_class_weight,ang_recall,ang_precision,ang_f1,ang_support,hap_recall,hap_precision,hap_f1,hap_support,sad_recall,sad_precision,sad_f1,sad_support,neu_recall,neu_precision,neu_f1,neu_support,ang_mi,hap_mi,sad_mi,neu_mi
lstm,0,0,poly,effective,0.3763265306122449,0.30233078956896803,0.22893967459595937,0.005213680338188417,"[[0, 52, 0, 118], [0, 226, 0, 202], [0, 110, 1, 134], [0, 145, 3, 234]]",1.1217963695526123,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.5280373831775701,0.42401500938086306,0.4703433922996878,428,0.004081632653061225,0.25,0.008032128514056224,245,0.612565445026178,0.34011627906976744,0.4373831775700935,382,0.0030760430707495335,0.0028222003910492125,0.0027589660726994565,0.0025875918941291242
lstm,5,0,poly,effective,0.3942857142857143,0.31466640009059627,0.2378152899192098,0.0042099067473888524,"[[0, 25, 0, 145], [0, 193, 0, 235], [0, 66, 0, 179], [0, 92, 0, 290]]",0.6640174388885498,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.45093457943925236,0.5132978723404256,0.48009950248756217,428,0.0,0.0,0.0,245,0.7591623036649214,0.3415783274440518,0.471161657189277,382,0.002295890854177863,0.002603279949317123,0.0025136582873938806,0.002961714134728244
lstm,10,0,poly,effective,0.4146938775510204,0.3174869715076661,0.23841471281050414,0.004623442435480307,"[[0, 111, 0, 59], [0, 369, 0, 59], [0, 167, 1, 77], [0, 244, 0, 138]]",1.154977798461914,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.8621495327102804,0.41414141414141414,0.5595147839272175,428,0.004081632653061225,1.0,0.008130081300813009,245,0.3612565445026178,0.4144144144144144,0.386013986013986,382,0.0022719567023240005,0.002801253860476324,0.00234305207365276,0.003068569045510316
lstm,15,0,poly,effective,0.31183673469387757,0.14825343205110297,0.11885500933416304,0.005109373181600518,"[[0, 0, 0, 170], [0, 0, 0, 428], [0, 0, 0, 245], [0, 0, 0, 382]]",0.7993619441986084,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.0,0.0,0.0,428,0.0,0.0,0.0,245,1.0,0.31183673469387757,0.47542003733665217,382,0.0023210075543948897,0.0029425312508618634,0.0024837644570468247,0.0034730819626086233
lstm,20,0,poly,effective,0.42612244897959184,0.3359258697707291,0.25241231315672635,0.004834301871012553,"[[0, 83, 0, 87], [0, 327, 0, 101], [0, 140, 0, 105], [0, 187, 0, 195]]",1.749119758605957,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.764018691588785,0.44369063772048845,0.5613733905579399,428,0.0,0.0,0.0,245,0.5104712041884817,0.39959016393442626,0.4482758620689655,382,0.0023175715720951204,0.0028138768892899627,0.002443014946627034,0.0035975415298979737
lstm,25,0,poly,effective,0.4253061224489796,0.33383198876837505,0.25073273876816143,0.005260425241938736,"[[0, 88, 0, 82], [0, 336, 0, 92], [0, 148, 0, 97], [0, 197, 0, 185]]",2.2465574741363525,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.7850467289719626,0.43693107932379716,0.5614035087719298,428,0.0,0.0,0.0,245,0.48429319371727747,0.4057017543859649,0.441527446300716,382,0.002347244163792585,0.0031095506302887847,0.0024329693653987283,0.003647788716239938
lstm,30,0,poly,effective,0.40653061224489795,0.29551276151338013,0.22003425253587117,0.005718694323592793,"[[0, 132, 0, 38], [0, 402, 0, 26], [0, 186, 0, 59], [0, 286, 0, 96]]",3.2005615234375,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.9392523364485982,0.3996023856858847,0.5606694560669456,428,0.0,0.0,0.0,245,0.2513089005235602,0.4383561643835616,0.3194675540765391,382,0.002519356200001813,0.0027500994054805994,0.002524809529136047,0.003976040668121409
lstm,35,0,poly,effective,0.38857142857142857,0.29390516092363134,0.22362337289523468,0.006059685268563422,"[[0, 0, 0, 170], [0, 117, 0, 311], [0, 19, 0, 226], [0, 23, 0, 359]]",3.7063777446746826,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.2733644859813084,0.7358490566037735,0.3986371379897785,428,0.0,0.0,0.0,245,0.9397905759162304,0.33677298311444653,0.4958563535911602,382,0.002084818588487678,0.00324707974065647,0.00260355694186704,0.004527726363131782
lstm,40,0,poly,effective,0.31183673469387757,0.14825343205110297,0.11885500933416304,0.005261811355444001,"[[0, 0, 0, 170], [0, 0, 0, 428], [0, 0, 0, 245], [0, 0, 0, 382]]",2.068424701690674,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.0,0.0,0.0,428,0.0,0.0,0.0,245,1.0,0.31183673469387757,0.47542003733665217,382,0.0022959065576340708,0.0030548433313293145,0.002451531276298059,0.003965627590015111
lstm,45,0,poly,effective,0.44816326530612244,0.3573212286523008,0.2683794852737665,0.006303699815197716,"[[0, 45, 0, 125], [0, 319, 0, 109], [0, 118, 0, 127], [0, 152, 0, 230]]",4.871209144592285,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.7453271028037384,0.5031545741324921,0.60075329566855,428,0.0,0.0,0.0,245,0.6020942408376964,0.38917089678510997,0.4727646454265159,382,0.002652010969984689,0.0031676250953374943,0.002555945607636154,0.004536157736133018
lstm,50,0,poly,effective,0.31183673469387757,0.14825343205110297,0.11885500933416304,0.005726705488238777,"[[0, 0, 0, 170], [0, 0, 0, 428], [0, 0, 0, 245], [0, 0, 0, 382]]",2.7800722122192383,192,0.7,0.0002,256,50,0.0,default,poly,,1.0,0.0,effective,0.0,0.0,0.0,170,0.0,0.0,0.0,428,0.0,0.0,0.0,245,1.0,0.31183673469387757,0.47542003733665217,382,0.002410135841502675,0.0030759100835070427,0.002523430802115805,0.004353707730719773
