file_id,mean_f0_hz
Monica,278.3542038461373
Phoebe,293.66630551147983
All,279.598750423855
Chandler,194.42746279842632
Joey,175.10507903481536
Rachel,296.22627939273667
Ross,200.22199000501985
Estelle,309.78830652243863
Gary,178.55893476193742
Guy,171.77167293565165
Woman,230.94311258392665
Mrs. Green,226.40410567211336
Alice,286.82452646392846
Frank,236.91788751894592
Bob,208.45431910979661
Kyle,155.3717525919796
Susan,269.12479238493296
Dr. Long,203.49198349500628
Carol,280.6042753330827
Mark,187.5934731737229
The Dry Cleaner,259.896960263882
Carl,214.86030788259913
Waitress,198.67016859993413
Janine,235.70618184703608
Kate,225.00327077172224
Mrs. Geller,264.16893208859705
Joanna,237.77224587828528
Tag,155.1042219198684
Elizabeth,273.3303811029556
Charlie,259.287021783614
Doctor,125.21914522030903
Cliff,162.8383745241833
Jeannine,200.76711297889096
Ursula,258.30883645609464
Steve,205.71900437502538
Jade,267.0080082451683
Roger,165.5835012703281
Janice,268.76017945834815
Duncan,178.83256177688023
Danny,203.54284569223452
Man,167.01162275259313
Phoebe Sr,343.5197225162435
Dr. Franzblau,182.56432657995205
Student,169.53023025586623
Mr. Geller,171.43087938645283
Mrs. Bing,185.98079740739826
Leslie,286.3952240078936
Chip,202.38467019376145
Kathy,302.69307907426423
Gunther,120.34551320954641
Flight Attendant,272.9022119892662
Larry,133.46002368040092
The Casting Director,215.2388181168441
The Director,202.83438110728275
Nurse,270.986360519258
Emily,252.23595223270226
Mike,216.94858869865735
Wayne,172.16684845370736
Paul,147.30117012084486
Lorraine,292.5750993721705
Sarah,274.1684789281291
Lydia,241.5937348275754
The Instructor,189.41800162780794
Dana,256.93978384180724
Ticket Counter Attendant,241.20367159112448
Director,211.99125502335377
Bonnie,264.60331032147104
Mr. Waltham,166.42094978192407
Jill,244.20813586376104
Eric,171.61724019588965
Mona,262.5389022250485
Doug,196.98873559147066
Sophie,298.1401376197232
Chloe,281.42190091290485
Kim,249.37944466220924
Nancy,286.98754426193204
Mr. Treeger,165.160673206701
David,143.50015738740035
Hold Voice,230.1407340974597
Ginger,270.4694103803835
Cecilia,246.63590748743212
Dina,333.5952082194319
Tour Guide,302.3006824210128
Mr. Kaplan,154.1971055078888
Pete,141.3385976706783
The Interviewer,181.263210395534
Customer,176.25002777136137
Mr. Tribbiani,208.63592046138328
Richard,169.28614259962217
Bobby,227.73370650374287
Krista,273.8632053739663
Mr. Franklin,152.8288990460619
Joshua,170.78892676736118
Cassie,260.49818319357695
Dr. Rhodes,251.8940434121182
Kristen,182.4891099671254
Dr. Green,215.7011888494417
Mr. Heckles,171.79083179296322
Hitchhiker,385.7404315243681
Policeman,151.9831275647838
Isabella,114.99397619164418
Joey's Hand Twin,161.02006218931115
Fireman No. 3,219.60537546067792
Mischa,154.5434260247034
Julio,186.918427642903
Julie,287.40151143266405
Phoebe Sr.,334.94286458311024
Katie,302.32149085404035
Earl,214.78600949045705
Barry,213.01384158078298
Bernice,263.8575174048878
Mindy,265.0211432019329
Robert,214.9420235843838
Issac,171.1091454538245
Mr. Burgin,180.42961397169142
Annabelle,252.41931619018612
Mr. Zelner,202.96726057074167
Jim,128.64421222610065
Stage Director,291.7246768501035
Receptionist,281.85171548381874
Marc,345.60152558010964
Kristin,273.52409061296026
Ben,295.53383378127694
Angela,245.44667345495992
Dr. Zane,221.80635740241192
Russell,144.02409912557366
The Head Librarian,243.49740765047235
Girl,320.8745670228024
Joey/Drake,112.79508674990232
The Potential Roommate,212.72996808104506
The Museum Official,242.55258257094124
The Cooking Teacher,301.77936035176833
